Best Output for 3 Layer CNN Model

Fold 1/5
Fold 3/5 - Epoch: 10, Train Loss: 0.25459957122802734, Train Accuracy: 0.9422081908269754, Validation Accuracy: 0.6635220125786163
Fold 3/5 - Epoch: 11, Train Loss: 0.2492234706878662, Train Accuracy: 0.9439621152328335, Validation Accuracy: 0.6918238993710691
Fold 3/5 - Epoch: 12, Train Loss: 0.23924104869365692, Train Accuracy: 0.94536525475752, Validation Accuracy: 0.6776729559748428
Fold 3/5 - Epoch: 13, Train Loss: 0.2352583259344101, Train Accuracy: 0.9442252038937122, Validation Accuracy: 0.6823899371069182
Fold 3/5 - Epoch: 14, Train Loss: 0.24773968756198883, Train Accuracy: 0.9431728492501973, Validation Accuracy: 0.6713836477987422
Fold 3/5 - Epoch: 15, Train Loss: 0.24091511964797974, Train Accuracy: 0.9439621152328335, Validation Accuracy: 0.6792452830188679
Fold 4/5
Fold 4/5 - Epoch: 1, Train Loss: 0.2347034513950348, Train Accuracy: 0.943523634131369, Validation Accuracy: 0.6761006289308176
Fold 4/5 - Epoch: 2, Train Loss: 0.22497838735580444, Train Accuracy: 0.9465930018416207, Validation Accuracy: 0.6509433962264151
Fold 4/5 - Epoch: 3, Train Loss: 0.2344207763671875, Train Accuracy: 0.9468560905024993, Validation Accuracy: 0.6729559748427673
Fold 4/5 - Epoch: 4, Train Loss: 0.231070876121521, Train Accuracy: 0.9418574059458037, Validation Accuracy: 0.6226415094339622
Fold 4/5 - Epoch: 5, Train Loss: 0.23204347491264343, Train Accuracy: 0.942558975708147, Validation Accuracy: 0.6415094339622641
Fold 4/5 - Epoch: 6, Train Loss: 0.22667257487773895, Train Accuracy: 0.943523634131369, Validation Accuracy: 0.6792452830188679
Fold 4/5 - Epoch: 7, Train Loss: 0.21913255751132965, Train Accuracy: 0.9454529509778129, Validation Accuracy: 0.6792452830188679
Fold 4/5 - Epoch: 8, Train Loss: 0.21439392864704132, Train Accuracy: 0.9431728492501973, Validation Accuracy: 0.6823899371069182
Fold 4/5 - Epoch: 9, Train Loss: 0.21548357605934143, Train Accuracy: 0.9438744190125405, Validation Accuracy: 0.6556603773584906
Fold 4/5 - Epoch: 10, Train Loss: 0.20331741869449615, Train Accuracy: 0.944400596334298, Validation Accuracy: 0.6792452830188679
Fold 4/5 - Epoch: 11, Train Loss: 0.20688919723033905, Train Accuracy: 0.943523634131369, Validation Accuracy: 0.7028301886792453
Fold 4/5 - Epoch: 12, Train Loss: 0.2093176245689392, Train Accuracy: 0.943523634131369, Validation Accuracy: 0.6823899371069182
Fold 4/5 - Epoch: 13, Train Loss: 0.20890949666500092, Train Accuracy: 0.9428220643690257, Validation Accuracy: 0.690251572327044
Fold 4/5 - Epoch: 14, Train Loss: 0.1952010542154312, Train Accuracy: 0.9454529509778129, Validation Accuracy: 0.6761006289308176
Fold 4/5 - Epoch: 15, Train Loss: 0.19806945323944092, Train Accuracy: 0.9436990265719547, Validation Accuracy: 0.6682389937106918
Fold 5/5
Fold 5/5 - Epoch: 1, Train Loss: 0.1815938800573349, Train Accuracy: 0.9446636849951767, Validation Accuracy: 0.6823899371069182
Fold 5/5 - Epoch: 2, Train Loss: 0.19070471823215485, Train Accuracy: 0.9439621152328335, Validation Accuracy: 0.6698113207547169
Fold 5/5 - Epoch: 3, Train Loss: 0.17855176329612732, Train Accuracy: 0.9423835832675612, Validation Accuracy: 0.6776729559748428
Fold 5/5 - Epoch: 4, Train Loss: 0.17323943972587585, Train Accuracy: 0.9438744190125405, Validation Accuracy: 0.6761006289308176
Fold 5/5 - Epoch: 5, Train Loss: 0.1790999174118042, Train Accuracy: 0.9442252038937122, Validation Accuracy: 0.6698113207547169
Fold 5/5 - Epoch: 6, Train Loss: 0.17340342700481415, Train Accuracy: 0.9429974568096116, Validation Accuracy: 0.6635220125786163
Fold 5/5 - Epoch: 7, Train Loss: 0.17072172462940216, Train Accuracy: 0.9439621152328335, Validation Accuracy: 0.6855345911949685
Fold 5/5 - Epoch: 8, Train Loss: 0.17537613213062286, Train Accuracy: 0.9444882925545909, Validation Accuracy: 0.6682389937106918
Fold 5/5 - Epoch: 9, Train Loss: 0.16616910696029663, Train Accuracy: 0.9437867227922476, Validation Accuracy: 0.6713836477987422
Fold 5/5 - Epoch: 10, Train Loss: 0.16520091891288757, Train Accuracy: 0.9411558361834605, Validation Accuracy: 0.6650943396226415
Fold 5/5 - Epoch: 11, Train Loss: 0.16416551172733307, Train Accuracy: 0.9451898623169341, Validation Accuracy: 0.6808176100628931
Fold 5/5 - Epoch: 12, Train Loss: 0.1564115434885025, Train Accuracy: 0.9439621152328335, Validation Accuracy: 0.64937106918239
Fold 5/5 - Epoch: 13, Train Loss: 0.1624516397714615, Train Accuracy: 0.9429974568096116, Validation Accuracy: 0.6540880503144654
Fold 5/5 - Epoch: 14, Train Loss: 0.15428835153579712, Train Accuracy: 0.9437867227922476, Validation Accuracy: 0.6666666666666666
Fold 5/5 - Epoch: 15, Train Loss: 0.15791058540344238, Train Accuracy: 0.9420327983863895, Validation Accuracy: 0.660377358490566
Test Accuracy: 0.6941176470588235
